"site" "year" "filename" "guess1" "confidence1"
"T2-1" 2023 "T2-1_2022-06-18_0006.JPG" 0 1
"T2-1" 2023 "T2-1_2022-06-18_0007.JPG" 0 1
"T2-1" 2023 "T2-1_2022-06-18_0008.JPG" 1 0.99960058927536
"T2-1" 2023 "T2-1_2022-06-18_0009.JPG" 1 0.999221444129944
"T2-1" 2023 "T2-1_2022-06-18_0010.JPG" 1 0.999402761459351
"T2-1" 2023 "T2-1_2022-06-18_0011.JPG" 3 0.997338950634003
"T2-1" 2023 "T2-1_2022-06-18_0012.JPG" 3 0.990636765956879
"T2-1" 2023 "T2-1_2022-06-18_0013.JPG" 3 0.999184548854828
"T2-1" 2023 "T2-1_2022-06-18_0014.JPG" 1 0.995198905467987
"T2-1" 2023 "T2-1_2022-06-18_0015.JPG" 3 0.993829429149628
"T2-1" 2023 "T2-1_2022-06-18_0016.JPG" 3 0.996172726154327
"T2-1" 2023 "T2-1_2022-06-18_0017.JPG" 3 0.987864315509796
"T2-1" 2023 "T2-1_2022-06-18_0018.JPG" 3 0.999007880687714
"T2-1" 2023 "T2-1_2022-06-18_0019.JPG" 3 0.989564418792725
"T2-1" 2023 "T2-1_2022-06-18_0020.JPG" 3 0.999600827693939
"T2-1" 2023 "T2-1_2022-06-18_0021.JPG" 3 0.995377421379089
"T2-1" 2023 "T2-1_2022-06-18_0022.JPG" 3 0.999041020870209
"T2-1" 2023 "T2-1_2022-06-18_0023.JPG" 3 0.998186767101288
"T2-1" 2023 "T2-1_2022-06-18_0024.JPG" 3 0.99467933177948
"T2-1" 2023 "T2-1_2022-06-19_0001.JPG" 3 0.993253767490387
"T2-1" 2023 "T2-1_2022-06-19_0002.JPG" 3 0.994595587253571
"T2-1" 2023 "T2-1_2022-06-19_0003.JPG" 1 0.999295592308044
"T2-1" 2023 "T2-1_2022-06-19_0004.JPG" 3 0.989355266094208
"T2-1" 2023 "T2-1_2022-06-19_0005.JPG" 3 0.974517107009888
"T2-1" 2023 "T2-1_2022-06-19_0006.JPG" 1 0.99928206205368
"T2-1" 2023 "T2-1_2022-06-19_0007.JPG" 3 0.988386452198029
"T2-1" 2023 "T2-1_2022-06-19_0008.JPG" 3 0.977955937385559
"T2-1" 2023 "T2-1_2022-06-19_0009.JPG" 3 0.987944483757019
"T2-1" 2023 "T2-1_2022-06-19_0010.JPG" 1 0.996210694313049
"T2-1" 2023 "T2-1_2022-06-20_0001.JPG" 1 0.998734533786774
"T2-1" 2023 "T2-1_2022-06-20_0002.JPG" 3 0.998282432556152
"T2-1" 2023 "T2-1_2022-06-20_0003.JPG" 3 0.99674266576767
"T2-1" 2023 "T2-1_2022-06-20_0004.JPG" 3 0.993039071559906
"T2-1" 2023 "T2-1_2022-06-20_0005.JPG" 3 0.99601137638092
"T2-1" 2023 "T2-1_2022-06-20_0006.JPG" 1 0.999634981155396
"T2-1" 2023 "T2-1_2022-06-20_0007.JPG" 3 0.984733760356903
