"site" "year" "filename" "guess1" "confidence1"
"T1-2" 2021 "T1-2_2020-11-13_0004.JPG" 0 0.999999284744263
"T1-2" 2021 "T1-2_2020-11-13_0005.JPG" 0 0.999998688697815
"T1-2" 2021 "T1-2_2020-11-13_0006.JPG" 1 0.999942779541016
"T1-2" 2021 "T1-2_2020-11-13_0007.JPG" 1 0.999494433403015
"T1-2" 2021 "T1-2_2020-11-13_0008.JPG" 1 0.999950289726257
"T1-2" 2021 "T1-2_2020-11-13_0009.JPG" 1 0.999932527542114
"T1-2" 2021 "T1-2_2020-11-13_0010.JPG" 1 0.999850392341614
"T1-2" 2021 "T1-2_2020-11-14_0001.JPG" 1 0.999954223632812
"T1-2" 2021 "T1-2_2020-11-14_0002.JPG" 1 0.999768555164337
"T1-2" 2021 "T1-2_2020-11-15_0001.JPG" 1 0.99934583902359
"T1-2" 2021 "T1-2_2020-11-15_0002.JPG" 1 0.999855160713196
"T1-2" 2021 "T1-2_2020-11-16_0001.JPG" 1 0.999400496482849
"T1-2" 2021 "T1-2_2020-11-16_0002.JPG" 1 0.999678492546082
"T1-2" 2021 "T1-2_2020-11-17_0001.JPG" 1 0.999594628810883
"T1-2" 2021 "T1-2_2020-11-17_0002.JPG" 1 0.999019265174866
"T1-2" 2021 "T1-2_2020-11-17_0003.JPG" 1 0.99718177318573
"T1-2" 2021 "T1-2_2020-11-17_0004.JPG" 1 0.995077848434448
"T1-2" 2021 "T1-2_2020-11-18_0001.JPG" 1 0.999669790267944
"T1-2" 2021 "T1-2_2020-11-18_0002.JPG" 1 0.999527931213379
"T1-2" 2021 "T1-2_2020-11-19_0001.JPG" 1 0.999313473701477
"T1-2" 2021 "T1-2_2020-11-19_0002.JPG" 1 0.997584342956543
"T1-2" 2021 "T1-2_2020-11-19_0003.JPG" 1 0.99857759475708
"T1-2" 2021 "T1-2_2020-11-19_0004.JPG" 1 0.999297738075256
"T1-2" 2021 "T1-2_2020-11-20_0001.JPG" 1 0.999673128128052
"T1-2" 2021 "T1-2_2020-11-20_0002.JPG" 1 0.995988667011261
"T1-2" 2021 "T1-2_2020-11-20_0003.JPG" 1 0.996498227119446
"T1-2" 2021 "T1-2_2020-11-20_0004.JPG" 1 0.999463856220245
"T1-2" 2021 "T1-2_2020-11-21_0001.JPG" 1 0.999552309513092
"T1-2" 2021 "T1-2_2020-11-21_0002.JPG" 1 0.999708592891693
"T1-2" 2021 "T1-2_2020-11-22_0001.JPG" 1 0.999254763126373
"T1-2" 2021 "T1-2_2020-11-22_0002.JPG" 6 1
"T1-2" 2021 "T1-2_2020-11-22_0003.JPG" 6 0.999999046325684
"T1-2" 2021 "T1-2_2020-11-22_0004.JPG" 1 0.999485492706299
"T1-2" 2021 "T1-2_2020-11-23_0001.JPG" 1 0.99880051612854
"T1-2" 2021 "T1-2_2020-11-23_0002.JPG" 1 0.998787581920624
"T1-2" 2021 "T1-2_2020-11-24_0001.JPG" 1 0.999401092529297
"T1-2" 2021 "T1-2_2020-11-24_0002.JPG" 1 0.999095678329468
"T1-2" 2021 "T1-2_2020-11-25_0001.JPG" 1 0.998482286930084
"T1-2" 2021 "T1-2_2020-11-25_0002.JPG" 1 0.995320379734039
"T1-2" 2021 "T1-2_2020-11-25_0003.JPG" 1 0.997190415859222
"T1-2" 2021 "T1-2_2020-11-25_0004.JPG" 1 0.999066293239594
"T1-2" 2021 "T1-2_2020-11-26_0001.JPG" 1 0.998924553394318
"T1-2" 2021 "T1-2_2020-11-26_0002.JPG" 1 0.999205529689789
"T1-2" 2021 "T1-2_2020-11-27_0001.JPG" 1 0.997726261615753
"T1-2" 2021 "T1-2_2020-11-27_0002.JPG" 1 0.997093439102173
"T1-2" 2021 "T1-2_2020-11-28_0001.JPG" 1 0.9982088804245
"T1-2" 2021 "T1-2_2020-11-28_0002.JPG" 1 0.999489068984985
"T1-2" 2021 "T1-2_2020-11-29_0001.JPG" 1 0.993593633174896
"T1-2" 2021 "T1-2_2020-11-29_0002.JPG" 1 0.945554316043854
