"SourceFile"	"FileName"	"Make"	"Model"	"DateTimeOriginal"	"TriggerMode"	"Sequence"	"EventNumber"	"MoonPhase"	"AmbientTemperature"	"SerialNumber"	"Contrast"	"Brightness"	"Sharpness"	"Saturation"	"NewFileName"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2019/H3_2019/IMG_0001.JPG"	"IMG_0001.JPG"	"RECONYX"	"SM750 SECURITY"	"2018:10:16 20:17:32"	"M"	"1 2"	1	2	19	"S750HK01271089"	159	223	16	0	"H3_2018-10-16_0001.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2019/H3_2019/IMG_0002.JPG"	"IMG_0002.JPG"	"RECONYX"	"SM750 SECURITY"	"2018:10:16 20:17:32"	"M"	"2 2"	1	2	19	"S750HK01271089"	159	223	16	0	"H3_2018-10-16_0002.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2019/H3_2019/IMG_0003.JPG"	"IMG_0003.JPG"	"RECONYX"	"SM750 SECURITY"	"2018:10:17 01:00:00"	"T"	"0 0"	1	2	19	"S750HK01271089"	143	239	16	0	"H3_2018-10-17_0001.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2019/H3_2019/IMG_0004.JPG"	"IMG_0004.JPG"	"RECONYX"	"SM750 SECURITY"	"2018:10:17 13:00:00"	"T"	"0 0"	2	2	18	"S750HK01271089"	159	223	16	0	"H3_2018-10-17_0002.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2019/H3_2019/IMG_0005.JPG"	"IMG_0005.JPG"	"RECONYX"	"SM750 SECURITY"	"2018:10:17 22:10:29"	"M"	"1 2"	2	2	19	"S750HK01271089"	159	223	16	0	"H3_2018-10-17_0003.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2019/H3_2019/IMG_0006.JPG"	"IMG_0006.JPG"	"RECONYX"	"SM750 SECURITY"	"2018:10:17 22:10:29"	"M"	"2 2"	2	2	19	"S750HK01271089"	159	223	16	0	"H3_2018-10-17_0004.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2019/H3_2019/IMG_0007.JPG"	"IMG_0007.JPG"	"RECONYX"	"SM750 SECURITY"	"2018:10:18 01:00:00"	"T"	"0 0"	3	2	18	"S750HK01271089"	143	239	16	0	"H3_2018-10-18_0001.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2019/H3_2019/IMG_0008.JPG"	"IMG_0008.JPG"	"RECONYX"	"SM750 SECURITY"	"2018:10:18 13:00:00"	"T"	"0 0"	4	2	19	"S750HK01271089"	159	223	16	0	"H3_2018-10-18_0002.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2019/H3_2019/IMG_0009.JPG"	"IMG_0009.JPG"	"RECONYX"	"SM750 SECURITY"	"2018:10:18 13:10:41"	"M"	"1 2"	3	2	19	"S750HK01271089"	143	239	16	0	"H3_2018-10-18_0003.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2019/H3_2019/IMG_0010.JPG"	"IMG_0010.JPG"	"RECONYX"	"SM750 SECURITY"	"2018:10:18 13:10:42"	"M"	"2 2"	3	2	19	"S750HK01271089"	143	239	16	0	"H3_2018-10-18_0004.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2019/H3_2019/IMG_0011.JPG"	"IMG_0011.JPG"	"RECONYX"	"SM750 SECURITY"	"2018:10:18 13:36:15"	"M"	"1 2"	4	2	19	"S750HK01271089"	143	239	16	0	"H3_2018-10-18_0005.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2019/H3_2019/IMG_0012.JPG"	"IMG_0012.JPG"	"RECONYX"	"SM750 SECURITY"	"2018:10:18 13:36:15"	"M"	"2 2"	4	2	19	"S750HK01271089"	143	239	16	0	"H3_2018-10-18_0006.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2019/H3_2019/IMG_0013.JPG"	"IMG_0013.JPG"	"RECONYX"	"SM750 SECURITY"	"2018:10:18 13:38:19"	"M"	"1 2"	5	2	19	"S750HK01271089"	143	239	16	0	"H3_2018-10-18_0007.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2019/H3_2019/IMG_0014.JPG"	"IMG_0014.JPG"	"RECONYX"	"SM750 SECURITY"	"2018:10:18 13:38:19"	"M"	"2 2"	5	2	19	"S750HK01271089"	143	239	16	0	"H3_2018-10-18_0008.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2019/H3_2019/IMG_0015.JPG"	"IMG_0015.JPG"	"RECONYX"	"SM750 SECURITY"	"2018:10:18 13:42:21"	"M"	"1 2"	6	2	19	"S750HK01271089"	143	239	16	0	"H3_2018-10-18_0009.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2019/H3_2019/IMG_0016.JPG"	"IMG_0016.JPG"	"RECONYX"	"SM750 SECURITY"	"2018:10:18 13:42:22"	"M"	"2 2"	6	2	19	"S750HK01271089"	143	239	16	0	"H3_2018-10-18_0010.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2019/H3_2019/IMG_0017.JPG"	"IMG_0017.JPG"	"RECONYX"	"SM750 SECURITY"	"2018:10:18 13:44:20"	"M"	"1 2"	7	2	19	"S750HK01271089"	143	239	16	0	"H3_2018-10-18_0011.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2019/H3_2019/IMG_0018.JPG"	"IMG_0018.JPG"	"RECONYX"	"SM750 SECURITY"	"2018:10:18 13:44:21"	"M"	"2 2"	7	2	19	"S750HK01271089"	143	239	16	0	"H3_2018-10-18_0012.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2019/H3_2019/IMG_0019.JPG"	"IMG_0019.JPG"	"RECONYX"	"SM750 SECURITY"	"2018:10:18 13:45:24"	"M"	"1 2"	8	2	19	"S750HK01271089"	143	239	16	0	"H3_2018-10-18_0013.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2019/H3_2019/IMG_0020.JPG"	"IMG_0020.JPG"	"RECONYX"	"SM750 SECURITY"	"2018:10:18 13:45:24"	"M"	"2 2"	8	2	19	"S750HK01271089"	143	239	16	0	"H3_2018-10-18_0014.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2019/H3_2019/IMG_0021.JPG"	"IMG_0021.JPG"	"RECONYX"	"SM750 SECURITY"	"2018:10:18 13:46:27"	"M"	"1 2"	9	2	19	"S750HK01271089"	143	239	16	0	"H3_2018-10-18_0015.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2019/H3_2019/IMG_0022.JPG"	"IMG_0022.JPG"	"RECONYX"	"SM750 SECURITY"	"2018:10:18 13:46:27"	"M"	"2 2"	9	2	19	"S750HK01271089"	143	239	16	0	"H3_2018-10-18_0016.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2019/H3_2019/IMG_0023.JPG"	"IMG_0023.JPG"	"RECONYX"	"SM750 SECURITY"	"2018:10:18 13:47:39"	"M"	"1 2"	10	2	19	"S750HK01271089"	143	239	16	0	"H3_2018-10-18_0017.JPG"
