"site" "year" "filename" "guess1" "confidence1"
"T2-1" 2024 "T2-1_2023-06-15_0012.JPG" 0 0.999996304512024
"T2-1" 2024 "T2-1_2023-06-15_0013.JPG" 0 0.999999761581421
"T2-1" 2024 "T2-1_2023-06-15_0014.JPG" 1 0.993055403232574
"T2-1" 2024 "T2-1_2023-06-15_0015.JPG" 1 0.992572128772736
"T2-1" 2024 "T2-1_2023-06-15_0016.JPG" 1 0.997626125812531
"T2-1" 2024 "T2-1_2023-06-15_0017.JPG" 3 0.99852591753006
"T2-1" 2024 "T2-1_2023-06-15_0018.JPG" 3 0.999628305435181
"T2-1" 2024 "T2-1_2023-06-15_0019.JPG" 3 0.998062551021576
"T2-1" 2024 "T2-1_2023-06-15_0020.JPG" 3 0.998599946498871
"T2-1" 2024 "T2-1_2023-06-15_0021.JPG" 3 0.998556911945343
"T2-1" 2024 "T2-1_2023-06-15_0022.JPG" 3 0.998589932918549
"T2-1" 2024 "T2-1_2023-06-15_0023.JPG" 3 0.997100412845612
"T2-1" 2024 "T2-1_2023-06-15_0024.JPG" 3 0.997853934764862
"T2-1" 2024 "T2-1_2023-06-15_0025.JPG" 3 0.99925833940506
"T2-1" 2024 "T2-1_2023-06-15_0026.JPG" 3 0.997618019580841
"T2-1" 2024 "T2-1_2023-06-15_0027.JPG" 3 0.999663710594177
"T2-1" 2024 "T2-1_2023-06-15_0028.JPG" 3 0.999866366386414
"T2-1" 2024 "T2-1_2023-06-16_0001.JPG" 1 0.991770625114441
"T2-1" 2024 "T2-1_2023-06-16_0002.JPG" 1 0.990756213665009
"T2-1" 2024 "T2-1_2023-06-16_0003.JPG" 1 0.99863737821579
"T2-1" 2024 "T2-1_2023-06-16_0004.JPG" 6 0.99999988079071
"T2-1" 2024 "T2-1_2023-06-16_0005.JPG" 6 0.999995827674866
"T2-1" 2024 "T2-1_2023-06-16_0006.JPG" 6 0.999506592750549
"T2-1" 2024 "T2-1_2023-06-16_0007.JPG" 6 0.999783098697662
"T2-1" 2024 "T2-1_2023-06-16_0008.JPG" 3 0.998471081256866
"T2-1" 2024 "T2-1_2023-06-16_0009.JPG" 3 0.9893519282341
"T2-1" 2024 "T2-1_2023-06-16_0010.JPG" 1 0.999562323093414
"T2-1" 2024 "T2-1_2023-06-16_0011.JPG" 3 0.997882306575775
"T2-1" 2024 "T2-1_2023-06-16_0012.JPG" 3 0.99901819229126
"T2-1" 2024 "T2-1_2023-06-17_0001.JPG" 3 0.996868908405304
"T2-1" 2024 "T2-1_2023-06-17_0002.JPG" 3 0.999693274497986
"T2-1" 2024 "T2-1_2023-06-17_0003.JPG" 1 0.999401092529297
