Image.Name;Site;Location_season;Trigger;Day;Month;Year;Date;Time;Temp_F;Temp_C;Serial #;Species;Comment
2014-10-01 23-59-34 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;1;10;2014;01/10/2014;23:59:34;44;7;S750HG03177873;M;
2014-10-01 23-59-35 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;1;10;2014;01/10/2014;23:59:35;44;7;S750HG03177873;;
2014-10-02 01-00-00 T.JPG;Valdres;Box1Spring2015;T;2;10;2014;02/10/2014;01:00:00;44;7;S750HG03177873;;
2014-10-02 03-03-03 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;2;10;2014;02/10/2014;03:03:03;44;7;S750HG03177873;M;
2014-10-02 03-03-03 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;2;10;2014;02/10/2014;03:03:03;44;7;S750HG03177873;;
2014-10-02 13-00-00 T.JPG;Valdres;Box1Spring2015;T;2;10;2014;02/10/2014;13:00:00;41;5;S750HG03177873;;
2014-10-03 01-00-00 T.JPG;Valdres;Box1Spring2015;T;3;10;2014;03/10/2014;01:00:00;33;1;S750HG03177873;;
2014-10-03 02-02-31 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;3;10;2014;03/10/2014;02:02:31;33;1;S750HG03177873;K;
2014-10-03 02-02-31 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;3;10;2014;03/10/2014;02:02:31;33;1;S750HG03177873;;
2014-10-03 02-36-18 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;3;10;2014;03/10/2014;02:36:18;33;1;S750HG03177873;M;
2014-10-03 02-36-18 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;3;10;2014;03/10/2014;02:36:18;33;1;S750HG03177873;;
2014-10-03 13-00-00 T.JPG;Valdres;Box1Spring2015;T;3;10;2014;03/10/2014;13:00:00;39;4;S750HG03177873;;
2014-10-04 01-00-00 T.JPG;Valdres;Box1Spring2015;T;4;10;2014;04/10/2014;01:00:00;45;7;S750HG03177873;;
2014-10-04 13-00-00 T.JPG;Valdres;Box1Spring2015;T;4;10;2014;04/10/2014;13:00:00;48;9;S750HG03177873;;
2014-10-04 21-56-22 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;4;10;2014;04/10/2014;21:56:22;47;8;S750HG03177873;M;
2014-10-04 21-56-22 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;4;10;2014;04/10/2014;21:56:22;47;8;S750HG03177873;;
2014-10-05 01-00-00 T.JPG;Valdres;Box1Spring2015;T;5;10;2014;05/10/2014;01:00:00;46;8;S750HG03177873;;
2014-10-05 04-52-53 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;5;10;2014;05/10/2014;04:52:53;46;8;S750HG03177873;M;
2014-10-05 04-52-53 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;5;10;2014;05/10/2014;04:52:53;46;8;S750HG03177873;;
2014-10-05 13-00-00 T.JPG;Valdres;Box1Spring2015;T;5;10;2014;05/10/2014;13:00:00;46;8;S750HG03177873;;
2014-10-06 01-00-00 T.JPG;Valdres;Box1Spring2015;T;6;10;2014;06/10/2014;01:00:00;44;7;S750HG03177873;;
2014-10-06 01-28-40 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;6;10;2014;06/10/2014;01:28:40;44;7;S750HG03177873;M;
2014-10-06 01-28-40 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;6;10;2014;06/10/2014;01:28:40;44;7;S750HG03177873;;
2014-10-06 02-41-41 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;6;10;2014;06/10/2014;02:41:41;44;7;S750HG03177873;;
2014-10-06 02-41-41 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;6;10;2014;06/10/2014;02:41:41;44;7;S750HG03177873;;
2014-10-06 13-00-00 T.JPG;Valdres;Box1Spring2015;T;6;10;2014;06/10/2014;13:00:00;44;7;S750HG03177873;;
2014-10-07 01-00-00 T.JPG;Valdres;Box1Spring2015;T;7;10;2014;07/10/2014;01:00:00;38;3;S750HG03177873;;
2014-10-07 13-00-00 T.JPG;Valdres;Box1Spring2015;T;7;10;2014;07/10/2014;13:00:00;34;1;S750HG03177873;;
2014-10-08 01-00-00 T.JPG;Valdres;Box1Spring2015;T;8;10;2014;08/10/2014;01:00:00;34;1;S750HG03177873;;
2014-10-08 13-00-00 T.JPG;Valdres;Box1Spring2015;T;8;10;2014;08/10/2014;13:00:00;35;2;S750HG03177873;;
2014-10-09 01-00-00 T.JPG;Valdres;Box1Spring2015;T;9;10;2014;09/10/2014;01:00:00;34;1;S750HG03177873;;
2014-10-09 13-00-00 T.JPG;Valdres;Box1Spring2015;T;9;10;2014;09/10/2014;13:00:00;36;2;S750HG03177873;;
2014-10-10 01-00-00 T.JPG;Valdres;Box1Spring2015;T;10;10;2014;10/10/2014;01:00:00;37;3;S750HG03177873;;
2014-10-10 12-44-49 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;10;10;2014;10/10/2014;12:44:49;39;4;S750HG03177873;DS;
2014-10-10 12-44-50 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;10;10;2014;10/10/2014;12:44:50;39;4;S750HG03177873;;
