Image Name;Site;Location_season;Trigger;Day;Month;Year;Date;Time;Temp_F;Temp_C;Serial #;Species;Comment
2014-10-06 01-00-00 T.JPG;Valdres;Box2Spring2015;T;6;10;2014;06/10/2014;01:00:00;43;6;S750HG02176085;;
2014-10-06 13-00-00 T.JPG;Valdres;Box2Spring2015;T;6;10;2014;06/10/2014;13:00:00;43;6;S750HG02176085;;
2014-10-07 01-00-00 T.JPG;Valdres;Box2Spring2015;T;7;10;2014;07/10/2014;01:00:00;35;2;S750HG02176085;;
2014-10-07 02-17-43 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;7;10;2014;07/10/2014;02:17:43;35;2;S750HG02176085;;
2014-10-07 02-17-43 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;7;10;2014;07/10/2014;02:17:43;35;2;S750HG02176085;;
2014-10-07 13-00-00 T.JPG;Valdres;Box2Spring2015;T;7;10;2014;07/10/2014;13:00:00;33;1;S750HG02176085;;
2014-10-07 21-10-14 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;7;10;2014;07/10/2014;21:10:14;34;1;S750HG02176085;L;
2014-10-07 21-10-15 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;7;10;2014;07/10/2014;21:10:15;34;1;S750HG02176085;;
2014-10-07 21-11-22 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;7;10;2014;07/10/2014;21:11:22;34;1;S750HG02176085;L;
2014-10-07 21-11-23 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;7;10;2014;07/10/2014;21:11:23;34;1;S750HG02176085;;
2014-10-08 01-00-00 T.JPG;Valdres;Box2Spring2015;T;8;10;2014;08/10/2014;01:00:00;33;1;S750HG02176085;;
2014-10-08 13-00-00 T.JPG;Valdres;Box2Spring2015;T;8;10;2014;08/10/2014;13:00:00;36;2;S750HG02176085;;
2014-10-08 21-41-45 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;8;10;2014;08/10/2014;21:41:45;34;1;S750HG02176085;S;
2014-10-08 21-41-45 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;8;10;2014;08/10/2014;21:41:45;34;1;S750HG02176085;;
2014-10-09 01-00-00 T.JPG;Valdres;Box2Spring2015;T;9;10;2014;09/10/2014;01:00:00;31;-1;S750HG02176085;;
2014-10-09 13-00-00 T.JPG;Valdres;Box2Spring2015;T;9;10;2014;09/10/2014;13:00:00;36;2;S750HG02176085;;
2014-10-10 01-00-00 T.JPG;Valdres;Box2Spring2015;T;10;10;2014;10/10/2014;01:00:00;37;3;S750HG02176085;;
2014-10-10 13-00-00 T.JPG;Valdres;Box2Spring2015;T;10;10;2014;10/10/2014;13:00:00;41;5;S750HG02176085;;
2014-10-11 01-00-00 T.JPG;Valdres;Box2Spring2015;T;11;10;2014;11/10/2014;01:00:00;35;2;S750HG02176085;;
2014-10-11 03-44-04 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;11;10;2014;11/10/2014;03:44:04;32;0;S750HG02176085;L;
2014-10-11 03-44-05 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;11;10;2014;11/10/2014;03:44:05;32;0;S750HG02176085;;
2014-10-11 05-43-12 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;11;10;2014;11/10/2014;05:43:12;31;-1;S750HG02176085;K;
2014-10-11 05-43-12 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;11;10;2014;11/10/2014;05:43:12;31;-1;S750HG02176085;;
2014-10-11 13-00-00 T.JPG;Valdres;Box2Spring2015;T;11;10;2014;11/10/2014;13:00:00;38;3;S750HG02176085;;
2014-10-12 01-00-00 T.JPG;Valdres;Box2Spring2015;T;12;10;2014;12/10/2014;01:00:00;38;3;S750HG02176085;;
2014-10-12 13-00-00 T.JPG;Valdres;Box2Spring2015;T;12;10;2014;12/10/2014;13:00:00;40;4;S750HG02176085;;
2014-10-13 01-00-00 T.JPG;Valdres;Box2Spring2015;T;13;10;2014;13/10/2014;01:00:00;31;-1;S750HG02176085;;
2014-10-13 02-37-11 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;13;10;2014;13/10/2014;02:37:11;30;-1;S750HG02176085;SK;
2014-10-13 02-37-11 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;13;10;2014;13/10/2014;02:37:11;30;-1;S750HG02176085;;
2014-10-13 06-46-26 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;13;10;2014;13/10/2014;06:46:26;28;-2;S750HG02176085;K;
2014-10-13 06-46-27 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;13;10;2014;13/10/2014;06:46:27;28;-2;S750HG02176085;;
2014-10-13 13-00-00 T.JPG;Valdres;Box2Spring2015;T;13;10;2014;13/10/2014;13:00:00;36;2;S750HG02176085;;
2014-10-13 19-33-34 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;13;10;2014;13/10/2014;19:33:34;33;1;S750HG02176085;K;
2014-10-13 19-33-35 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;13;10;2014;13/10/2014;19:33:35;33;1;S750HG02176085;;
2014-10-14 01-00-00 T.JPG;Valdres;Box2Spring2015;T;14;10;2014;14/10/2014;01:00:00;31;-1;S750HG02176085;;
2014-10-14 02-52-37 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;14;10;2014;14/10/2014;02:52:37;31;-1;S750HG02176085;M;
2014-10-14 02-52-37 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;14;10;2014;14/10/2014;02:52:37;31;-1;S750HG02176085;;
2014-10-14 13-00-00 T.JPG;Valdres;Box2Spring2015;T;14;10;2014;14/10/2014;13:00:00;34;1;S750HG02176085;;
2014-10-14 20-08-03 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;14;10;2014;14/10/2014;20:08:03;34;1;S750HG02176085;M;
