"","T12","T13","T21","T22","T31","T32","T51","T52","seas","sp","year"
"101",1,4,6,0,2,0,14,1,"FALL","AGR",2010
"102",0,0,0,0,0,0,3,0,"SPRING","AGR",2010
"103",0,0,0,0,0,0,0,0,"FALL","OEC",2010
"104",0,0,0,0,0,0,0,0,"SPRING","OEC",2010
"105",34,29,37,42,15,40,31,42,"FALL","RUF",2011
"106",11,10,17,16,4,0,5,1,"SPRING","RUF",2011
"107",5,9,4,0,16,5,9,2,"FALL","RUT",2011
"108",2,1,1,0,6,1,5,0,"SPRING","RUT",2011
"109",1,3,0,0,5,0,4,0,"FALL","AGR",2011
"110",1,10,0,0,20,1,9,0,"SPRING","AGR",2011
"111",0,0,0,0,0,0,0,0,"FALL","OEC",2011
"112",0,0,0,0,0,0,0,0,"SPRING","OEC",2011
"113",5,2,14,11,3,6,1,1,"FALL","RUF",2012
"114",0,1,5,6,1,8,0,2,"SPRING","RUF",2012
"115",3,3,0,3,0,0,0,0,"FALL","RUT",2012
"116",0,0,0,1,0,3,0,0,"SPRING","RUT",2012
"117",0,0,0,0,0,0,0,0,"FALL","AGR",2012
"118",0,0,0,0,0,0,0,0,"SPRING","AGR",2012
"119",0,0,0,0,0,0,0,0,"FALL","OEC",2012
"120",0,0,0,0,0,0,0,0,"SPRING","OEC",2012
"121",4,6,13,10,1,2,2,4,"FALL","RUF",2013
"122",0,3,4,2,0,0,0,0,"SPRING","RUF",2013
"123",4,1,0,0,0,0,1,0,"FALL","RUT",2013
"124",3,0,0,0,0,0,0,0,"SPRING","RUT",2013
"125",0,0,0,0,0,0,0,0,"FALL","AGR",2013
"126",0,0,0,0,0,0,0,0,"SPRING","AGR",2013
"127",0,0,0,0,0,0,0,0,"FALL","OEC",2013
"128",0,0,0,0,0,0,0,0,"SPRING","OEC",2013
"129",21,9,26,25,3,12,11,26,"FALL","RUF",2014
"130",17,5,10,7,3,7,2,4,"SPRING","RUF",2014
"131",3,7,0,0,1,4,8,0,"FALL","RUT",2014
"132",0,0,1,0,0,0,0,0,"SPRING","RUT",2014
"133",1,0,0,0,1,0,4,0,"FALL","AGR",2014
"134",0,0,0,0,0,0,0,0,"SPRING","AGR",2014
"135",0,0,3,0,0,0,0,0,"FALL","OEC",2014
"136",0,0,0,0,0,0,0,0,"SPRING","OEC",2014
"137",11,12,31,31,17,26,19,29,"FALL","RUF",2015
"138",17,9,18,24,11,8,7,15,"SPRING","RUF",2015
"139",5,1,3,0,6,4,7,0,"FALL","RUT",2015
"140",0,2,1,0,2,1,4,0,"SPRING","RUT",2015
"141",0,0,0,0,2,0,5,0,"FALL","AGR",2015
"142",0,0,0,0,0,0,5,0,"SPRING","AGR",2015
"143",0,0,1,0,0,0,0,0,"FALL","OEC",2015
"144",0,0,1,0,0,0,0,0,"SPRING","OEC",2015
"145",4,7,20,21,9,15,5,10,"FALL","RUF",2016
"146",9,13,15,17,8,7,4,0,"SPRING","RUF",2016
"147",1,0,6,0,0,0,4,1,"FALL","RUT",2016
"148",1,0,5,1,1,1,1,0,"SPRING","RUT",2016
"149",0,0,0,1,0,0,0,0,"FALL","AGR",2016
"150",0,0,0,0,2,0,0,0,"SPRING","AGR",2016
"151",0,0,0,0,0,0,0,0,"FALL","OEC",2016
"152",0,0,0,0,0,0,0,0,"SPRING","OEC",2016
"153",0,0,5,12,0,0,1,11,"FALL","RUF",2017
"154",0,0,5,2,0,1,0,1,"SPRING","RUF",2017
"155",0,0,0,0,0,0,0,0,"FALL","RUT",2017
"156",0,0,0,0,0,0,1,0,"SPRING","RUT",2017
"157",0,0,0,0,0,0,0,0,"FALL","AGR",2017
"158",0,0,0,0,0,0,0,0,"SPRING","AGR",2017
"159",0,0,0,0,0,0,0,0,"FALL","OEC",2017
"160",0,0,0,0,0,0,0,0,"SPRING","OEC",2017
"161",12,5,35,49,1,8,18,10,"FALL","RUF",2018
"162",2,2,15,13,1,3,1,1,"SPRING","RUF",2018
"163",1,0,0,0,1,3,7,2,"FALL","RUT",2018
"164",0,0,0,0,0,1,1,0,"SPRING","RUT",2018
"165",0,0,0,0,11,12,3,0,"FALL","AGR",2018
"166",0,0,0,0,4,0,1,0,"SPRING","AGR",2018
"167",0,0,1,0,0,0,0,0,"FALL","OEC",2018
"168",0,0,0,0,0,0,0,0,"SPRING","OEC",2018
"169",16,17,27,18,4,21,0,10,"FALL","RUF",2019
"170",14,12,21,23,7,7,0,3,"SPRING","RUF",2019
"171",1,2,0,0,1,0,8,0,"FALL","RUT",2019
"172",0,1,0,0,0,0,2,0,"SPRING","RUT",2019
"173",3,1,0,0,7,0,6,0,"FALL","AGR",2019
"174",2,5,0,0,2,1,0,0,"SPRING","AGR",2019
"175",0,2,0,0,0,0,0,0,"FALL","OEC",2019
"176",1,2,0,0,3,0,0,0,"SPRING","OEC",2019
"177",3,2,8,4,0,1,0,1,"FALL","RUF",2020
"178",1,4,3,0,1,0,0,0,"SPRING","RUF",2020
"179",0,0,0,0,1,1,1,0,"FALL","RUT",2020
"180",0,0,0,0,0,0,0,0,"SPRING","RUT",2020
"181",0,0,0,0,0,0,0,0,"FALL","AGR",2020
"182",0,0,0,0,0,0,0,0,"SPRING","AGR",2020
"183",0,0,0,0,0,0,0,0,"FALL","OEC",2020
"184",0,0,0,0,0,0,0,0,"SPRING","OEC",2020
"185",10,5,9,19,2,5,0,0,"FALL","RUF",2021
"186",1,1,1,2,2,4,0,0,"SPRING","RUF",2021
"187",0,0,0,0,0,0,1,0,"FALL","RUT",2021
"188",0,0,0,0,0,0,0,0,"SPRING","RUT",2021
"189",0,0,0,0,0,0,0,0,"FALL","AGR",2021
"190",0,0,0,0,0,0,0,0,"SPRING","AGR",2021
"191",0,0,0,0,0,0,0,0,"FALL","OEC",2021
"192",0,0,0,0,0,0,0,0,"SPRING","OEC",2021
"193",14,23,38,42,9,32,4,19,"FALL","RUF",2022
"194",5,8,17,16,9,10,2,5,"SPRING","RUF",2022
"195",7,2,0,1,4,2,7,1,"FALL","RUT",2022
"196",0,0,0,0,1,0,1,0,"SPRING","RUT",2022
"197",1,1,0,0,7,4,9,0,"FALL","AGR",2022
