Name;Station;Date;SnowDepth
Tromsø;SN90450;09.06.2017;0
Tromsø;SN90450;01.10.2017;0
Tromsø;SN90450;02.10.2017;0
Tromsø;SN90450;03.10.2017;0
Tromsø;SN90450;04.10.2017;0
Tromsø;SN90450;05.10.2017;0
Tromsø;SN90450;06.10.2017;0
Tromsø;SN90450;07.10.2017;0
Tromsø;SN90450;08.10.2017;0
Tromsø;SN90450;09.10.2017;0
Tromsø;SN90450;10.10.2017;0
Tromsø;SN90450;11.10.2017;0
Tromsø;SN90450;12.10.2017;0
Tromsø;SN90450;13.10.2017;0
Tromsø;SN90450;17.10.2017;0
Tromsø;SN90450;18.10.2017;0
Tromsø;SN90450;19.10.2017;0
Tromsø;SN90450;20.10.2017;0
Tromsø;SN90450;21.10.2017;0
Tromsø;SN90450;22.10.2017;0
Tromsø;SN90450;23.10.2017;0
Tromsø;SN90450;24.10.2017;0
Tromsø;SN90450;25.10.2017;0
Tromsø;SN90450;26.10.2017;0
Tromsø;SN90450;27.10.2017;0
Tromsø;SN90450;28.10.2017;0
Tromsø;SN90450;29.10.2017;2
Tromsø;SN90450;30.10.2017;32
Tromsø;SN90450;31.10.2017;45
Tromsø;SN90450;01.11.2017;43
Tromsø;SN90450;02.11.2017;31
Tromsø;SN90450;03.11.2017;28
Tromsø;SN90450;04.11.2017;15
Tromsø;SN90450;05.11.2017;12
Tromsø;SN90450;06.11.2017;12
Tromsø;SN90450;07.11.2017;11
Tromsø;SN90450;08.11.2017;4
Tromsø;SN90450;09.11.2017;2
Tromsø;SN90450;10.11.2017;0
Tromsø;SN90450;14.11.2017;0
Tromsø;SN90450;16.11.2017;11
Tromsø;SN90450;17.11.2017;10
Tromsø;SN90450;18.11.2017;9
Tromsø;SN90450;19.11.2017;9
Tromsø;SN90450;20.11.2017;8
Tromsø;SN90450;21.11.2017;8
Tromsø;SN90450;22.11.2017;8
Tromsø;SN90450;23.11.2017;8
Tromsø;SN90450;24.11.2017;8
Tromsø;SN90450;25.11.2017;7
Tromsø;SN90450;26.11.2017;7
Tromsø;SN90450;27.11.2017;14
Tromsø;SN90450;28.11.2017;24
Tromsø;SN90450;29.11.2017;26
Tromsø;SN90450;30.11.2017;24
Tromsø;SN90450;01.12.2017;24
Tromsø;SN90450;02.12.2017;22
Tromsø;SN90450;03.12.2017;24
Tromsø;SN90450;04.12.2017;34
Tromsø;SN90450;05.12.2017;60
Tromsø;SN90450;06.12.2017;68
Tromsø;SN90450;07.12.2017;78
Tromsø;SN90450;08.12.2017;70
Tromsø;SN90450;09.12.2017;65
Tromsø;SN90450;10.12.2017;62
Tromsø;SN90450;11.12.2017;57
Tromsø;SN90450;12.12.2017;54
Tromsø;SN90450;13.12.2017;53
Tromsø;SN90450;14.12.2017;73
Tromsø;SN90450;15.12.2017;68
Tromsø;SN90450;16.12.2017;64
Tromsø;SN90450;17.12.2017;59
Tromsø;SN90450;18.12.2017;63
Tromsø;SN90450;19.12.2017;60
Tromsø;SN90450;20.12.2017;43
Tromsø;SN90450;21.12.2017;39
Tromsø;SN90450;22.12.2017;45
Tromsø;SN90450;23.12.2017;49
Tromsø;SN90450;24.12.2017;53
Tromsø;SN90450;25.12.2017;50
Tromsø;SN90450;26.12.2017;48
Tromsø;SN90450;27.12.2017;48
Tromsø;SN90450;28.12.2017;50
Tromsø;SN90450;29.12.2017;47
Tromsø;SN90450;30.12.2017;46
Tromsø;SN90450;31.12.2017;46
Tromsø;SN90450;01.01.2018;46
Tromsø;SN90450;02.01.2018;46
Tromsø;SN90450;03.01.2018;47
Tromsø;SN90450;04.01.2018;70
Tromsø;SN90450;05.01.2018;68
Tromsø;SN90450;06.01.2018;64
Tromsø;SN90450;07.01.2018;76
Tromsø;SN90450;08.01.2018;80
Tromsø;SN90450;09.01.2018;78
Tromsø;SN90450;10.01.2018;69
Tromsø;SN90450;11.01.2018;65
Tromsø;SN90450;12.01.2018;63
Tromsø;SN90450;13.01.2018;57
Tromsø;SN90450;14.01.2018;57
Tromsø;SN90450;15.01.2018;56
Tromsø;SN90450;16.01.2018;56
Tromsø;SN90450;17.01.2018;56
Tromsø;SN90450;18.01.2018;56
Tromsø;SN90450;19.01.2018;56
Tromsø;SN90450;20.01.2018;56
Tromsø;SN90450;21.01.2018;56
Tromsø;SN90450;22.01.2018;56
Tromsø;SN90450;23.01.2018;56
Tromsø;SN90450;24.01.2018;56
Tromsø;SN90450;25.01.2018;56
Tromsø;SN90450;26.01.2018;58
Tromsø;SN90450;27.01.2018;59
Tromsø;SN90450;28.01.2018;59
Tromsø;SN90450;29.01.2018;59
Tromsø;SN90450;30.01.2018;59
Tromsø;SN90450;31.01.2018;59
Tromsø;SN90450;01.02.2018;59
Tromsø;SN90450;02.02.2018;58
Tromsø;SN90450;03.02.2018;58
Tromsø;SN90450;04.02.2018;58
Tromsø;SN90450;05.02.2018;57
Tromsø;SN90450;06.02.2018;54
Tromsø;SN90450;07.02.2018;53
Tromsø;SN90450;08.02.2018;52
Tromsø;SN90450;09.02.2018;52
Tromsø;SN90450;10.02.2018;52
Tromsø;SN90450;11.02.2018;52
Tromsø;SN90450;12.02.2018;52
Tromsø;SN90450;13.02.2018;52
Tromsø;SN90450;14.02.2018;51
Tromsø;SN90450;15.02.2018;51
Tromsø;SN90450;16.02.2018;51
Tromsø;SN90450;17.02.2018;51
Tromsø;SN90450;18.02.2018;51
Tromsø;SN90450;19.02.2018;51
Tromsø;SN90450;20.02.2018;51
Tromsø;SN90450;21.02.2018;51
Tromsø;SN90450;22.02.2018;51
Tromsø;SN90450;23.02.2018;51
