"site" "year" "filename" "guess1" "confidence1"
"G11" 2024 "G11_2023-06-15_0006.JPG" 0 0.999707639217377
"G11" 2024 "G11_2023-06-15_0007.JPG" 0 0.999752461910248
"G11" 2024 "G11_2023-06-15_0008.JPG" 0 0.999990582466125
"G11" 2024 "G11_2023-06-15_0009.JPG" 0 0.99982625246048
"G11" 2024 "G11_2023-06-15_0010.JPG" 1 0.999561250209808
"G11" 2024 "G11_2023-06-16_0001.JPG" 1 0.999778807163239
"G11" 2024 "G11_2023-06-16_0002.JPG" 1 0.999711096286774
"G11" 2024 "G11_2023-06-16_0003.JPG" 3 0.998885571956635
"G11" 2024 "G11_2023-06-16_0004.JPG" 3 0.987610697746277
"G11" 2024 "G11_2023-06-17_0001.JPG" 1 0.999479711055756
"G11" 2024 "G11_2023-06-17_0002.JPG" 1 0.999099731445312
"G11" 2024 "G11_2023-06-17_0003.JPG" 3 0.989268481731415
"G11" 2024 "G11_2023-06-17_0004.JPG" 3 0.999244451522827
"G11" 2024 "G11_2023-06-18_0001.JPG" 3 0.999248206615448
"G11" 2024 "G11_2023-06-18_0002.JPG" 3 0.999030590057373
"G11" 2024 "G11_2023-06-18_0003.JPG" 1 0.999297738075256
"G11" 2024 "G11_2023-06-18_0004.JPG" 1 0.999818027019501
"G11" 2024 "G11_2023-06-18_0005.JPG" 6 0.999823749065399
"G11" 2024 "G11_2023-06-18_0006.JPG" 6 0.99999725818634
"G11" 2024 "G11_2023-06-19_0001.JPG" 1 0.99976509809494
"G11" 2024 "G11_2023-06-19_0002.JPG" 3 0.999405384063721
"G11" 2024 "G11_2023-06-19_0003.JPG" 3 0.996828138828278
"G11" 2024 "G11_2023-06-19_0004.JPG" 1 0.999843835830688
"G11" 2024 "G11_2023-06-20_0001.JPG" 1 0.999417543411255
"G11" 2024 "G11_2023-06-20_0002.JPG" 1 0.999764740467072
"G11" 2024 "G11_2023-06-20_0003.JPG" 1 0.999731242656708
"G11" 2024 "G11_2023-06-20_0004.JPG" 1 0.99970144033432
"G11" 2024 "G11_2023-06-21_0001.JPG" 1 0.998593509197235
"G11" 2024 "G11_2023-06-21_0002.JPG" 1 0.999494791030884
"G11" 2024 "G11_2023-06-22_0001.JPG" 6 0.999999403953552
"G11" 2024 "G11_2023-06-22_0002.JPG" 6 0.99999725818634
"G11" 2024 "G11_2023-06-22_0003.JPG" 1 0.99891471862793
"G11" 2024 "G11_2023-06-22_0004.JPG" 6 0.999989748001099
"G11" 2024 "G11_2023-06-22_0005.JPG" 6 0.999995946884155
"G11" 2024 "G11_2023-06-22_0006.JPG" 1 0.999889016151428
"G11" 2024 "G11_2023-06-22_0007.JPG" 6 0.999861478805542
"G11" 2024 "G11_2023-06-22_0008.JPG" 6 0.995953798294067
"G11" 2024 "G11_2023-06-22_0009.JPG" 6 0.999992966651917
"G11" 2024 "G11_2023-06-22_0010.JPG" 1 0.631673693656921
"G11" 2024 "G11_2023-06-23_0001.JPG" 6 0.999999761581421
"G11" 2024 "G11_2023-06-23_0002.JPG" 6 0.999998807907104
"G11" 2024 "G11_2023-06-23_0003.JPG" 1 0.999837040901184
"G11" 2024 "G11_2023-06-23_0004.JPG" 1 0.999856114387512
"G11" 2024 "G11_2023-06-24_0001.JPG" 1 0.999408483505249
"G11" 2024 "G11_2023-06-24_0002.JPG" 6 0.999993324279785
"G11" 2024 "G11_2023-06-24_0003.JPG" 6 0.999998688697815
"G11" 2024 "G11_2023-06-24_0004.JPG" 6 0.999997854232788
"G11" 2024 "G11_2023-06-24_0005.JPG" 6 0.999996304512024
"G11" 2024 "G11_2023-06-24_0006.JPG" 1 0.999797523021698
"G11" 2024 "G11_2023-06-24_0007.JPG" 6 0.999892115592957
"G11" 2024 "G11_2023-06-24_0008.JPG" 1 0.999085068702698
"G11" 2024 "G11_2023-06-25_0001.JPG" 1 0.999840497970581
"G11" 2024 "G11_2023-06-25_0002.JPG" 1 0.999945163726807
"G11" 2024 "G11_2023-06-25_0003.JPG" 3 0.998974084854126
"G11" 2024 "G11_2023-06-25_0004.JPG" 3 0.998795509338379
"G11" 2024 "G11_2023-06-26_0001.JPG" 1 0.999899506568909
"G11" 2024 "G11_2023-06-26_0002.JPG" 3 0.996812760829926
"G11" 2024 "G11_2023-06-26_0003.JPG" 3 0.988224625587463
"G11" 2024 "G11_2023-06-26_0004.JPG" 1 0.999865770339966
"G11" 2024 "G11_2023-06-26_0005.JPG" 6 0.999995827674866
"G11" 2024 "G11_2023-06-26_0006.JPG" 6 0.999954700469971
